Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado
2017-0109,1,2017-09-04,21,AVENIDA,DIRECTORIO AV.,True,7,-58.47130269,-34.63665402,MOTO-AUTO,MOTO,AUTO
2017-0110,1,2017-09-06,14,AVENIDA,LAVALLE,True,1,-58.370488,-34.60189492,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0111,1,2017-09-07,18,CALLE,USPALLATA,True,4,-58.42023854,-34.6423411,PEATON-CARGAS,PEATON,CARGAS
2017-0112,2,2017-09-10,9,AUTOPISTA,AUTOPISTA 25 DE MAYO,False,7,-58.45807401,-34.6399743,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0113,1,2017-09-11,6,AVENIDA,SANTA FE AV.,True,1,-58.37697717,-34.59573848,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0114,1,2017-09-15,2,AVENIDA,ALVEAR AV.,True,2,-58.3910058,-34.5849866,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0115,1,2017-09-19,18,AVENIDA,PAVON AV.,True,5,-58.42182126,-34.63089661,MOTO-BICICLETA,MOTO,BICICLETA
2017-0116,1,2017-09-20,22,GRAL PAZ,"PAZ, GRAL. AV.",False,12,-58.51389422,-34.58075791,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0118,1,2017-09-22,7,AVENIDA,VIEYTES,True,4,-58.37585415,-34.65232158,MOTO-AUTO,MOTO,AUTO
2017-0120,1,2017-10-02,15,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,9,-58.47297505,-34.66245085,MOTO-CARGAS,MOTO,CARGAS
2017-0123,1,2017-10-10,1,AVENIDA,ALBARI?O,True,8,-58.46855503,-34.67216349,PEATON-AUTO,PEATON,AUTO
2017-0124,1,2017-10-12,14,CALLE,"RAMIREZ DE VELASCO, JUAN",False,15,-58.44254033,-34.59185043,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0125,1,2017-10-13,6,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",True,8,-58.46622247,-34.67926929,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0126,2,2017-10-14,6,AVENIDA,RIESTRA AV.,True,8,-58.48003734,-34.68148508,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0127,1,2017-10-16,7,AVENIDA,GALLO,True,2,-58.41192137,-34.59800248,MOTO-MOTO,MOTO,MOTO
2017-0128,1,2017-10-17,12,CALLE,"ARANGUREN, JUAN F., DR.",False,6,-58.44034689,-34.61349731,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0129,1,2017-10-26,19,AUTOPISTA,AUTOPISTA PERITO MORENO,True,9,-58.47155277,-34.64925746,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0130,1,2017-10-27,5,AVENIDA,CHORROARIN,True,15,-58.47883099,-34.59967065,AUTO-CARGAS,AUTO,CARGAS
2017-0132,1,2017-10-30,14,AVENIDA,COSQUIN,True,8,-58.46552171,-34.6937413,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0134,1,2017-11-06,18,AVENIDA,"ROCA, CNEL. AV.",False,8,-58.4423972,-34.66777987,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0135,1,2017-11-07,12,AVENIDA,WARNES AV.,True,15,-58.47032551,-34.59626814,MOTO-CARGAS,MOTO,CARGAS
2017-0136,1,2017-11-16,8,AVENIDA,BARCO CENTENERA DEL,True,4,-58.41827843,-34.65522746,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0137,1,2017-11-17,11,AVENIDA,MOSCONI GENERAL AV.,True,11,-58.51280715,-34.59279388,PEATON-CARGAS,PEATON,CARGAS
2017-0138,1,2017-11-19,10,AVENIDA,LAFUENTE AV.,True,7,-58.46258582,-34.64385704,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0139,1,2017-11-19,22,AVENIDA,"ROCA, CNEL. AV.",True,8,-58.45064148,-34.68003614,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0141,1,2017-11-23,19,AVENIDA,LA PLATA AV.,True,6,-58.42717783,-34.62513374,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0143,1,2017-11-25,21,CALLE,"TRELLES, MANUEL R.",True,11,-58.46442001,-34.60724519,AUTO-PASAJEROS,AUTO,PASAJEROS
2017-0144,1,2017-11-26,6,GRAL PAZ,"ROCA, CNEL. AV.",True,8,-58.47064556,-34.69843756,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0145,1,2017-11-26,17,CALLE,MAZA,True,5,-58.41677733,-34.61223119,MOTO-AUTO,MOTO,AUTO
2017-0147,1,2017-11-28,11,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.5025179,-34.67450313,MOTO-AUTO,MOTO,AUTO
2017-0148,1,2017-11-29,10,AVENIDA,SAN JUAN AV.,True,3,-58.40708125,-34.62438894,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0149,1,2017-11-30,12,AVENIDA,PASEO COLON AV.,True,1,-58.36947198,-34.61477051,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0150,1,2017-12-04,1,AVENIDA,RIVADAVIA AV.,True,9,-58.51140889,-34.63934531,PEATON-AUTO,PEATON,AUTO
2017-0151,1,2017-12-04,2,CALLE,VIEYTES,True,4,-58.37460912,-34.65559133,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0152,1,2017-12-06,17,CALLE,CACHI,True,4,-58.41146277,-34.65073916,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2017-0153,2,2017-12-11,2,AVENIDA,ROSARIO,True,6,-58.42855267,-34.61829385,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0154,1,2017-12-11,9,AVENIDA,ENTRE RIOS AV.,True,4,-58.39035581,-34.63412287,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0157,1,2017-12-17,9,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.52866211,-34.64597065,AUTO-PASAJEROS,AUTO,PASAJEROS
2017-0158,1,2017-12-18,21,GRAL PAZ,GUALEGUAYCHU,True,11,-58.52037476,-34.59407024,MOTO-AUTO,MOTO,AUTO
2017-0159,1,2017-12-20,4,AVENIDA,INDEPENDENCIA AV.,True,1,-58.38896772,-34.61799615,MOTO-AUTO,MOTO,AUTO
2017-0160,1,2017-12-22,13,AVENIDA,NAZCA AV.,False,7,-58.47074114,-34.62771756,PEATON-MOTO,PEATON,MOTO
2017-0161,1,2017-12-26,15,AVENIDA,"PERON, EVA AV.",False,9,-58.48200819,-34.65969965,PEATON-AUTO,PEATON,AUTO
2018-0001,1,2018-01-01,22,AVENIDA,SAN JUAN AV.,True,3,-58.39536773,-34.62297346,PEATON-MOTO,PEATON,MOTO
2018-0002,1,2018-01-03,16,CALLE,PERU,False,1,-58.37456088,-34.61895467,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2018-0003,1,2018-01-05,10,AVENIDA,"PUEYRREDON, HONORIO, DR. AV.",True,15,-58.44860217,-34.60395657,MULTIPLE,PEATON,MULTIPLE
2018-0004,1,2018-01-09,9,AVENIDA,DEL LIBERTADOR AV.,True,13,-58.46129513,-34.54332766,MULTIPLE,MOTO,MULTIPLE
2018-0005,1,2018-01-09,22,AVENIDA,PASEO COLON AV.,False,1,-58.36907201,-34.61953517,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0006,1,2018-01-10,21,CALLE,VALLE,True,6,-58.44062219,-34.62499107,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2018-0007,1,2018-01-11,2,AUTOPISTA,AUTOPISTA PERITO MORENO,False,9,-58.52502765,-34.63601265,AUTO-AUTO,AUTO,AUTO
2018-0008,1,2018-01-12,17,AVENIDA,"HUERGO, ING. AV.",True,1,-58.36659655,-34.61687778,MOTO-CARGAS,MOTO,CARGAS
2018-0009,1,2018-01-14,2,AVENIDA,PILCOMAYO,True,4,-58.36737389,-34.62763661,MOTO-MOTO,MOTO,MOTO
2018-0010,1,2018-01-18,5,CALLE,CERVANTES,True,10,-58.49807953,-34.63038658,MOTO-CARGAS,MOTO,CARGAS
2018-0011,1,2018-01-19,10,AVENIDA,CALLAO AV.,True,2,-58.39092703,-34.59088447,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0012,1,2018-01-26,13,CALLE,OLIDEN,True,8,-58.46912006,-34.68049201,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0013,1,2018-01-28,8,AVENIDA,CONGRESO AV.,True,12,-58.48661286,-34.56786129,MOTO-AUTO,MOTO,AUTO
2018-0014,1,2018-01-31,20,AVENIDA,"MORENO, PERITO AV.",True,7,-58.44074927,-34.65080597,PEATON-MOTO,PEATON,MOTO
2018-0015,2,2018-02-06,1,AVENIDA,AUSTRALIA AV.,False,4,-58.38636298,-34.64684275,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0016,1,2018-02-15,10,AVENIDA,DEL LIBERTADOR AV.,True,1,-58.37533517,-34.59276462,MOTO-CARGAS,MOTO,CARGAS
2018-0017,1,2018-02-17,4,AVENIDA,SAN PEDRITO AV.,True,7,-58.46963952,-34.63070603,PEATON-AUTO,PEATON,AUTO
2018-0018,1,2018-02-17,7,CALLE,ISABEL LA CATOLICA,True,4,-58.37207554,-34.64543658,MOTO-CARGAS,MOTO,CARGAS
2018-0019,1,2018-02-17,12,AVENIDA,LAS HERAS GENERAL AV.,True,2,-58.39189441,-34.59176378,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0020,1,2018-02-19,22,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,False,8,-58.45012957,-34.66518343,MOTO-CARGAS,MOTO,CARGAS
2018-0021,1,2018-02-22,10,AVENIDA,"ALCORTA, AMANCIO AV.",True,4,-58.40184094,-34.64546845,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0022,1,2018-02-24,0,AVENIDA,"MONTES DE OCA, MANUEL AV.",True,4,-58.37441153,-34.63966783,MOTO-CARGAS,MOTO,CARGAS
2018-0023,1,2018-02-24,6,CALLE,BARCO CENTENERA DEL,True,6,-58.44110156,-34.62082399,MOTO-AUTO,MOTO,AUTO
2018-0024,1,2018-02-28,23,AVENIDA,ALVAREZ THOMAS AV.,True,15,-58.47087351,-34.57827342,PEATON-CARGAS,PEATON,CARGAS
2018-0025,1,2018-03-04,22,AVENIDA,AVELLANEDA AV.,True,7,-58.4596221,-34.6224514,PEATON-AUTO,PEATON,AUTO
2018-0026,2,2018-03-09,4,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",True,4,-58.41657793,-34.65476216,MOVIL-CARGAS,MOVIL,CARGAS
2018-0027,1,2018-03-11,23,CALLE,CASTRO,True,5,-58.41911301,-34.63722107,PEATON-MOTO,PEATON,MOTO
2018-0028,1,2018-03-13,15,AVENIDA,"BILBAO, FRANCISCO AV.",True,9,-58.47120586,-34.64251042,PEATON-CARGAS,PEATON,CARGAS
2018-0029,1,2018-03-15,18,AVENIDA,NAZCA AV.,True,11,-58.47418944,-34.62049672,MOTO-AUTO,MOTO,AUTO
2018-0030,1,2018-03-20,1,AVENIDA,PLAZA,True,15,-58.46720441,-34.57905579,MOTO-MOTO,MOTO,MOTO
2018-0031,1,2018-03-28,10,AVENIDA,GAONA AV.,True,11,-58.46909362,-34.6177971,MOTO-CARGAS,MOTO,CARGAS
2018-0032,1,2018-04-02,13,AVENIDA,CABILDO AV.,True,13,-58.44704343,-34.5688864,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0033,1,2018-04-07,7,AVENIDA,CAMARONES,True,10,-58.50535541,-34.62902048,MOTO-CARGAS,MOTO,CARGAS
2018-0034,1,2018-04-11,18,AVENIDA,SANTA FE AV.,False,2,-58.40021675,-34.59522198,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0035,1,2018-04-12,16,AVENIDA,RIVADAVIA AV.,False,7,-58.46325991,-34.62919627,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0036,1,2018-04-13,23,AVENIDA,SAN MARTIN AV.,True,15,-58.49471482,-34.59694755,MOTO-AUTO,MOTO,AUTO
2018-0037,1,2018-04-18,18,AVENIDA,CORDOBA AV.,True,2,-58.3987261,-34.59975962,PEATON-CARGAS,PEATON,CARGAS
2018-0038,2,2018-04-20,17,AVENIDA,RIVADAVIA AV.,False,1,-58.38872177,-34.60885045,PEATON-AUTO,PEATON,AUTO
2018-0040,1,2018-04-27,11,CALLE,"FREIRE, RAMON, CAP. GRAL.",True,13,-58.45686132,-34.57305993,PEATON-CARGAS,PEATON,CARGAS
2018-0041,1,2018-04-27,13,AVENIDA,LA PLATA AV.,True,4,-58.42281627,-34.64282424,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0042,1,2018-04-27,18,CALLE,BRANDSEN,True,4,-58.38666024,-34.63953396,MOTO-CARGAS,MOTO,CARGAS
2018-0043,1,2018-04-28,6,AVENIDA,"VILARDEBO, TEODORO",True,11,-58.49122843,-34.61207587,MOTO-AUTO,MOTO,AUTO
2018-0044,1,2018-04-28,9,AVENIDA,ALBERTI,True,3,-58.40098306,-34.61866627,PEATON-AUTO,PEATON,AUTO
2018-0045,1,2018-04-30,7,AVENIDA,ALVAREZ THOMAS AV.,False,13,-58.45448963,-34.5791692,AUTO-CARGAS,AUTO,CARGAS
2018-0046,1,2018-05-02,3,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.52927982,-34.63931752,PEATON-AUTO,PEATON,AUTO
2018-0047,1,2018-05-08,19,AVENIDA,CORRIENTES AV.,True,15,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0048,1,2018-05-09,10,AVENIDA,RIVADAVIA AV.,True,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0049,1,2018-05-11,19,CALLE,QUESADA,False,13,-58.4621322,-34.55395823,PEATON-AUTO,PEATON,AUTO
2018-0050,1,2018-05-14,18,AVENIDA,CABILDO AV.,True,13,-58.45669422,-34.5620361,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0051,1,2018-05-15,21,CALLE,CALIFORNIA,True,4,-58.3597716,-34.64341878,PEATON-AUTO,PEATON,AUTO
2018-0052,1,2018-05-18,20,AVENIDA,"CARRIL, SALVADOR MARIA DEL AV.",True,15,-58.49820145,-34.59070093,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0053,1,2018-05-20,2,CALLE,SAN LUIS,True,3,-58.4105928,-34.5993918,MOTO-AUTO,MOTO,AUTO
2018-0054,1,2018-05-22,11,CALLE,LUGONES,False,12,-58.47969138,-34.57121563,PEATON-BICICLETA,PEATON,BICICLETA
2018-0055,1,2018-05-29,7,AVENIDA,INDEPENDENCIA AV.,True,3,-58.40351561,-34.61883916,MOTO-AUTO,MOTO,AUTO
2018-0056,1,2018-06-02,13,AVENIDA,RIVADAVIA AV.,False,9,-58.51973844,-34.63918987,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0057,1,2018-06-03,3,CALLE,COMBATE DE LOS POZOS,True,3,-58.39311376,-34.62163006,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0058,1,2018-06-03,6,AVENIDA,CORDOBA AV.,True,15,-58.43531242,-34.59082159,MOTO-AUTO,MOTO,AUTO
2018-0059,1,2018-06-08,6,AVENIDA,"GARAY, JUAN DE AV.",True,5,-58.41178165,-34.63035454,MOTO-MOVIL,MOTO,OTRO
2018-0060,1,2018-06-08,12,AVENIDA,LAVALLE,True,1,-58.370488,-34.60189492,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0061,1,2018-06-10,11,CALLE,ESTADOS UNIDOS,True,3,-58.39883882,-34.61964833,MOTO-MOTO,MOTO,MOTO
2018-0062,1,2018-06-14,1,CALLE,ROSARIO,True,6,-58.44110156,-34.62082399,PEATON-CARGAS,PEATON,CARGAS
2018-0063,1,2018-06-16,21,AVENIDA,"ALEM, LEANDRO N. AV.",True,1,-58.37093138,-34.59952725,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0064,1,2018-06-25,1,AVENIDA,VARELA AV.,True,7,-58.45855262,-34.63953253,AUTO-CARGAS,AUTO,CARGAS
2018-0065,1,2018-06-26,17,CALLE,"PELLEGRINI, CARLOS",True,1,-58.38161909,-34.59283447,MOTO-CARGAS,MOTO,CARGAS
2018-0066,1,2018-06-28,11,AVENIDA,CORRIENTES AV.,True,15,-58.45511899,-34.58698157,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0067,1,2018-06-29,16,AVENIDA,"MONTES DE OCA, MANUEL AV.",True,4,-58.37724226,-34.62973033,PASAJEROS-AUTO,PASAJEROS,AUTO
2018-0068,1,2018-07-01,9,AVENIDA,CARABOBO AV.,True,7,-58.45546217,-34.62930339,MOTO-AUTO,MOTO,AUTO
2018-0069,1,2018-07-04,21,AVENIDA,CORDOBA AV.,False,2,-58.39897064,-34.59954925,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2018-0070,1,2018-07-07,15,CALLE,ESTADOS UNIDOS,True,3,-58.40917826,-34.62126274,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0071,1,2018-07-10,17,AVENIDA,MORENO,True,1,-58.36726348,-34.61099738,MOTO-CARGAS,MOTO,CARGAS
2018-0072,1,2018-07-11,13,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,False,8,-58.48267426,-34.68454456,MOTO-CARGAS,MOTO,CARGAS
2018-0073,1,2018-07-11,15,AVENIDA,"IRIARTE, GRAL. AV.",False,4,-58.39546165,-34.65168841,PEATON-CARGAS,PEATON,CARGAS
2018-0074,1,2018-07-14,6,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",False,7,-58.46941984,-34.63376545,AUTO-CARGAS,AUTO,CARGAS
2018-0075,1,2018-07-15,7,AVENIDA,DEL LIBERTADOR AV.,True,14,-58.40367321,-34.58129246,PEATON-AUTO,PEATON,AUTO
2018-0076,1,2018-07-16,9,CALLE,"CHAVEZ, JORGE",True,9,-58.52932872,-34.65014993,AUTO-CARGAS,AUTO,CARGAS
2018-0077,1,2018-07-16,23,CALLE,"URQUIZA, GRAL.",True,3,-58.40917826,-34.62126274,AUTO-CARGAS,AUTO,CARGAS
2018-0078,1,2018-07-21,6,CALLE,PARAGUAY,True,2,-58.41264127,-34.59473294,PEATON-AUTO,PEATON,AUTO
2018-0079,1,2018-07-23,7,GRAL PAZ,DE LOS CORRALES AV.,True,9,-58.50877521,-34.66977709,PEATON-CARGAS,PEATON,CARGAS
2018-0080,1,2018-07-25,22,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,9,-58.51232237,-34.6590353,PEATON-AUTO,PEATON,AUTO
2018-0081,1,2018-07-29,6,AVENIDA,CASTANARES AV.,True,7,-58.44744156,-34.64567171,MULTIPLE,PEATON,MULTIPLE
2018-0082,1,2018-08-01,15,AVENIDA,LARRAZABAL,True,9,-58.49441273,-34.65869968,MOTO-CARGAS,MOTO,CARGAS
2018-0083,1,2018-08-02,5,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.47976785,-34.69153196,MOTO-CARGAS,MOTO,CARGAS
2018-0084,1,2018-08-03,7,AVENIDA,"MOREAU DE JUSTO, ALICIA AV.",True,1,-58.36523349,-34.62260331,PEATON-CARGAS,PEATON,CARGAS
2018-0085,2,2018-08-03,18,AVENIDA,ENTRE RIOS AV.,True,3,-58.39118948,-34.62704273,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0086,1,2018-08-10,21,AVENIDA,DIRECTORIO AV.,True,9,-58.49019551,-34.65015854,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0087,1,2018-08-15,19,AVENIDA,PAVON AV.,True,5,-58.41644362,-34.63023775,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0088,1,2018-08-17,16,GRAL PAZ,"PAZ, GRAL. AV.",True,12,-58.5007381,-34.5497951,MOTO-CARGAS,MOTO,CARGAS
2018-0089,1,2018-08-17,17,AVENIDA,PICHINCHA AV.,True,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0090,1,2018-08-18,10,AVENIDA,27 DE FEBRERO AV.,True,8,-58.43284809,-34.67051543,MOTO-AUTO,MOTO,AUTO
2018-0091,1,2018-08-19,18,AUTOPISTA,AUTOPISTA PERITO MORENO,True,9,-58.52280139,-34.63659934,AUTO-AUTO,AUTO,AUTO
2018-0092,1,2018-08-20,8,AVENIDA,CORDOBA AV.,True,14,-58.4233693,-34.59774487,MOTO-AUTO,MOTO,AUTO
2018-0093,1,2018-08-20,8,CALLE,15 DE NOVIEMBRE DE 1889,False,1,-58.38691681,-34.63105973,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0094,1,2018-08-23,5,CALLE,"SALGUERO, JERONIMO",True,14,-58.4116902,-34.5857988,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0095,1,2018-08-26,0,AVENIDA,LACARRA AV.,True,9,-58.46739825,-34.65117757,AUTO-AUTO,AUTO,AUTO
2018-0096,1,2018-08-31,22,AUTOPISTA,AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,True,8,-58.44483258,-34.67152226,PEATON-AUTO,PEATON,AUTO
2018-0097,1,2018-09-02,10,AVENIDA,VARELA AV.,True,8,-58.43254025,-34.66128115,AUTO-MOVIL,AUTO,OTRO
2018-0098,2,2018-09-09,5,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO
2018-0099,1,2018-09-12,14,AVENIDA,RIVADAVIA AV.,True,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0100,1,2018-09-20,10,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.",False,1,-58.36217754,-34.62367156,MOTO-AUTO,MOTO,AUTO
2018-0101,1,2018-09-21,0,GRAL PAZ,"PAZ, GRAL. AV.",True,12,-58.48098594,-34.5407313,MULTIPLE,AUTO,MULTIPLE
2018-0102,1,2018-09-21,0,CALLE,FAMATINA,True,4,-58.41083404,-34.64640709,MOTO-AUTO,MOTO,AUTO
2018-0103,1,2018-09-27,17,AVENIDA,CASTA?ARES AV.,True,7,-58.44609828,-34.64446729,PEATON-MOTO,PEATON,MOTO
2018-0104,1,2018-10-01,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,True,4,-58.37709334,-34.64035082,MOTO-MOTO,MOTO,MOTO
2018-0105,1,2018-10-03,18,AVENIDA,NAZCA AV.,True,7,-58.46963952,-34.63070603,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0106,1,2018-10-04,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,13,-58.43674281,-34.55161027,MOTO-MOTO,MOTO,MOTO
2018-0107,1,2018-10-06,14,AVENIDA,RIVADAVIA AV.,True,3,-58.4059686,-34.61011987,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0108,1,2018-10-09,14,AVENIDA,DE LOS ITALIANOS AV.,True,1,-58.36154069,-34.60463618,MOTO-AUTO,MOTO,AUTO
2018-0109,1,2018-10-10,22,AVENIDA,TUCUMAN,True,1,-58.37062179,-34.60066507,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0110,1,2018-10-13,3,AVENIDA,CORRIENTES AV.,True,15,-58.43220014,-34.60207186,PEATON-MOTO,PEATON,MOTO
2018-0111,1,2018-10-19,12,AUTOPISTA,AUTOPISTA PERITO MORENO,False,9,-58.46958442,-34.64949724,MOTO-CARGAS,MOTO,CARGAS
2018-0112,1,2018-10-24,9,CALLE,MU?ECAS,True,15,-58.44671397,-34.59970903,MOTO-CARGAS,MOTO,CARGAS
2018-0113,1,2018-10-25,11,CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.",True,11,-58.47152163,-34.61474911,MOTO-CARGAS,MOTO,CARGAS
2018-0114,1,2018-10-30,2,AVENIDA,SOLIS,True,1,-58.39032921,-34.61807951,MOTO-AUTO,MOTO,AUTO
2018-0115,1,2018-10-31,12,CALLE,"BOSCH, VENTURA",True,9,-58.52887773,-34.64297861,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0116,1,2018-11-01,10,GRAL PAZ,"PAZ, GRAL. AV.",False,8,-58.49371157,-34.67981324,PEATON-CARGAS,PEATON,CARGAS
2018-0117,1,2018-11-04,8,AVENIDA,"PERON, EVA AV.",False,9,-58.48266599,-34.66012327,MOTO-MOTO,MOTO,MOTO
2018-0118,1,2018-11-05,14,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",True,3,-58.40612253,-34.60774301,PEATON-MOTO,PEATON,MOTO
2018-0120,1,2018-11-09,13,AVENIDA,MONROE,True,12,-58.48250732,-34.57208238,PEATON-AUTO,PEATON,AUTO
2018-0121,1,2018-11-09,16,AVENIDA,RIVADAVIA AV.,True,10,-58.49945705,-34.6374328,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0122,1,2018-11-12,1,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,8,-58.47743966,-34.67233407,AUTO-AUTO,AUTO,AUTO
2018-0124,1,2018-11-15,19,AUTOPISTA,AUTOPISTA PERITO MORENO,False,9,-58.52144411,-34.63682499,CARGAS-CARGAS,CARGAS,CARGAS
2018-0125,1,2018-11-16,21,AVENIDA,SAENZ AV.,True,4,-58.41650465,-34.65084045,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0126,1,2018-11-18,12,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.52994219,-34.64055918,MOTO-AUTO,MOTO,AUTO
2018-0127,1,2018-11-19,9,GRAL PAZ,"PAZ, GRAL. AV.",True,12,-58.50993046,-34.56919739,MOTO-MOTO,MOTO,MOTO
2018-0128,2,2018-11-25,4,GRAL PAZ,"PAZ, GRAL. AV.",False,9,-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS
2018-0129,1,2018-11-28,4,AVENIDA,"NEWBERY, JORGE AV.",True,15,-58.45021367,-34.58695347,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0130,1,2018-12-03,3,AVENIDA,GAONA AV.,True,10,-58.49022072,-34.62770192,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0131,1,2018-12-07,19,AVENIDA,"MADERO, EDUARDO AV.",False,1,-58.36860866,-34.60106568,MOTO-CARGAS,MOTO,CARGAS
2018-0132,1,2018-12-12,8,AUTOPISTA,AUTOPISTA ARTURO ILLIA,True,2,-58.39490504,-34.57241534,PEATON-CARGAS,PEATON,CARGAS
2018-0133,1,2018-12-12,14,AVENIDA,NAZCA AV.,True,7,-58.46963952,-34.63070603,PEATON-CARGAS,PEATON,CARGAS
2018-0134,1,2018-12-12,21,AVENIDA,LA PLATA AV.,True,7,-58.42349365,-34.64019887,PEATON-MOTO,PEATON,MOTO
2018-0135,1,2018-12-18,14,AVENIDA,BELGRANO AV.,True,1,-58.37471802,-34.61265002,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0136,1,2018-12-18,15,AVENIDA,RIVADAVIA AV.,False,7,-58.46438789,-34.62913916,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0137,1,2018-12-18,20,CALLE,"ALSINA, ADOLFO",True,1,-58.38481975,-34.61100424,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0138,1,2018-12-21,9,CALLE,BERMUDEZ,False,10,-58.50751833,-34.62073702,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
